Wavenumber [cm^-1];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.]
;t0;t1;t2;t3;t4;t5
102,31954;0,006047782;0,007059473;0,009829081;0,010506542;0,009624989;0,012081773
103,2838;0,005960935;0,007119652;0,009688162;0,010243058;0,010030696;0,011808749
104,24806;0,005874101;0,007229843;0,009547255;0,009919582;0,010426411;0,011055735
105,21232;0,005577282;0,007010047;0,009466361;0,009616116;0,010232134;0,01021273
106,17658;0,005410476;0,006690264;0,009575478;0,009142658;0,009537866;0,009799734
107,14084;0,005613683;0,006620492;0,009854607;0,008519209;0,008713607;0,009726747
108,1051;0,005796904;0,006620734;0,009983748;0,008045769;0,007879356;0,00968377
109,06937;0,005610138;0,006350987;0,009672901;0,007842338;0,007325114;0,009500801
110,03363;0,005433385;0,005931253;0,009102065;0,007928915;0,00733088;0,009197841
110,99789;0,005606646;0,00573153;0,008741241;0,008285501;0,007566655;0,00891489
111,96215;0,005749919;0,00571182;0,008700428;0,008652095;0,007632437;0,008911948
112,92641;0,005443205;0,005572121;0,008529627;0,008738697;0,007738228;0,009059015
113,89067;0,005046505;0,005452434;0,008038837;0,008695308;0,008124027;0,00882609
114,85493;0,005069816;0,005572759;0,007618058;0,008771927;0,008449834;0,008003174
115,81919;0,005533141;0,005663096;0,00763729;0,008838555;0,008455649;0,007140266
116,78345;0,005906478;0,005613444;0,007966533;0,008525191;0,008321472;0,006877367
117,74771;0,005789828;0,005633804;0,008025787;0,007871834;0,008097303;0,007264476
118,71197;0,00540319;0,005754174;0,007605052;0,007358486;0,007663142;0,008031594
119,67623;0,005176564;0,005964557;0,007324328;0,007325146;0,007368989;0,00885872
120,64049;0,005209951;0,00619495;0,007713614;0,007611814;0,007724843;0,009325854
121,60475;0,005383349;0,006195354;0,008212912;0,007898489;0,008610705;0,009402997
122,56902;0,00547676;0,00602577;0,008002219;0,008115173;0,009396575;0,009280147
123,53328;0,005340183;0,006086197;0,007371538;0,008241864;0,009772452;0,008987306
124,49754;0,005173617;0,006276634;0,007160866;0,008158563;0,009708337;0,008594473
125,4618;0,005047064;0,006187082;0,007410205;0,00802527;0,009274229;0,008501647
126,42606;0,004700522;0,005847541;0,007689554;0,008021984;0,008640129;0,00872883
127,39032;0,004083991;0,00566801;0,008018913;0,007968705;0,008156036;0,00886602
128,35458;0,003537472;0,00580849;0,008488282;0,007725434;0,00800195;0,008773218
129,31884;0,003410964;0,00606898;0,008797662;0,007432171;0,008107872;0,008620424
130,2831;0,003884468;0,006229481;0,008847051;0,007148915;0,008323801;0,008547637
131,24736;0,004647983;0,006189992;0,00887645;0,006985666;0,008639736;0,008654858
132,21162;0,005191509;0,005900513;0,008825858;0,007242424;0,008955679;0,008942086
133,17588;0,005475045;0,005441044;0,008555276;0,00777919;0,008831629;0,009139322
134,14014;0,005788593;0,005141585;0,008264704;0,008005962;0,008287586;0,009136566
135,10441;0,006072152;0,005232136;0,008034142;0,007842742;0,00804355;0,009233816
136,06867;0,006005722;0,005612697;0,007673589;0,007739528;0,008359521;0,009471074
137,03293;0,005619302;0,006043268;0,007443045;0,008066322;0,008655498;0,009428339
137,99719;0,005472893;0,006343848;0,00771251;0,008733122;0,008671482;0,009075612
138,96145;0,005716494;0,006424438;0,008321984;0,009209929;0,008687473;0,008782891
139,92571;0,005970105;0,006205037;0,008821468;0,008966743;0,008583471;0,008630177
140,88997;0,006053727;0,005685646;0,00889096;0,008323564;0,007959475;0,00846747
141,85423;0,006127359;0,005196264;0,008670462;0,008020391;0,007215485;0,008304771
142,81849;0,006241001;0,005136892;0,008699972;0,008057224;0,007131502;0,008112078
143,78275;0,006224654;0,005557528;0,008999491;0,007914064;0,007667526;0,007899391
144,74701;0,006028316;0,006078174;0,009079019;0,007560911;0,008003555;0,007946712
145,71127;0,005651988;0,005958828;0,008928555;0,007467764;0,007849591;0,008524039
146,67553;0,005095669;0,004979492;0,0089681;0,007804623;0,007735634;0,009441373
147,6398;0,004669361;0,004100164;0,008977653;0,008201489;0,007881682;0,010068713
148,60406;0,004703062;0,004010845;0,008467215;0,00818836;0,007857737;0,00985606
149,56832;0,005096772;0,004231535;0,007606785;0,007655238;0,007293797;0,008903413
150,53258;0,005390492;0,004082233;0,007116363;0,007002122;0,006269864;0,007920773
151,49684;0,005294221;0,003682939;0,007305949;0,006689012;0,005305936;0,007318139
152,4611;0,00493796;0,003583654;0,007765543;0,006625907;0,005072014;0,006995511
153,42536;0,004601707;0,003874377;0,008045145;0,006422809;0,005598099;0,006712889
154,38962;0,004355463;0,004025109;0,007864755;0,006129717;0,006154188;0,006360273
155,35388;0,004119229;0,003765849;0,007184372;0,00599663;0,006170284;0,005877663
156,31814;0,003913003;0,003396596;0,006443998;0,006013549;0,005826385;0,00548506
157,2824;0,003566786;0,003237352;0,006043631;0,006060473;0,005522492;0,005452462
158,24666;0,002820578;0,003328115;0,005733271;0,005977403;0,005328605;0,00562987
159,21092;0,002104378;0,003478887;0,005232919;0,005574339;0,005254723;0,005637284
