Wavenumber [cm^-1];3 min;30 min;60 min;90 min;120 min;150 min;180 min;300 min;360 min;1800 min
525,0251;-0,009406238;-0,004726594;-0,008922633;0;-0,010655242;0;-0,001319216;0;0;0
525,2661;-0,007316117;-0,004123433;-0,008593041;1,55E-04;-0,010266266;5,38E-04;-0,001845875;7,44E-04;1,47E-04;-6,59E-05
525,5072;-0,005361824;-0,003580512;-0,008142463;2,57E-04;-0,009673367;0,001312303;-0,002224722;0,001451684;4,52E-04;-7,29E-05
525,7482;-0,004039999;-0,003063447;-0,007548552;3,04E-04;-0,008918318;0,001741257;-0,002327564;0,002207626;8,84E-04;1,24E-05
525,9893;-0,003421101;-0,002554022;-0,006850358;4,67E-04;-0,008158549;0,001232101;-0,002200596;0,00305356;0,001382789;2,10E-04
526,2303;-0,00327957;-0,002037055;-0,006152234;8,88E-04;-0,007534732;-4,20E-04;-0,001942426;0,003960795;0,001857134;5,21E-04
526,4714;-0,003328768;-0,001464727;-0,005501131;0,001531502;-0,007113296;-0,00298501;-0,001615347;0,00481602;0,002231928;8,88E-04
526,7125;-0,003284663;-0,001006597;-0,005026074;0,002292535;-0,006805829;-0,005517974;-0,001122266;0,005568039;0,002454119;0,001307326
526,9536;-0,002960056;-5,38E-04;-0,004655067;0,002933964;-0,00662463;-0,007483042;-5,79E-04;0,006027751;0,002554909;0,0016162
527,1946;-0,002123617;-3,27E-04;-0,004567935;0,003506313;-0,006473389;-0,007974905;0;0,006235861;0,002553248;0,00182581
527,4357;-0,001128606;-1,51E-04;-0,004523829;0,003758835;-0,006338432;-0,007260783;5,60E-04;0,006222956;0,002524933;0,001849423
527,6767;-2,25E-04;2,44E-05;-0,004402303;0,003740276;-0,006144134;-0,005612056;0,001081966;0,006153147;0,002512767;0,001732371
527,9178;3,94E-04;2,35E-04;-0,004084805;0,003603789;-0,005800723;-0,003438345;0,001569047;0,006212122;0,002537947;0,001568183
528,1588;2,68E-04;6,60E-04;-0,003392089;0,00321732;-0,005143373;-0,001232131;0,002292122;0,006623791;0,002607374;0,00145467
528,3999;8,52E-05;0,001318672;-0,002599405;0,003041123;-0,004264711;0,001002367;0,002943996;0,007276541;0,002696847;0,00135942
528,6409;-1,99E-05;0,001977753;-0,001775407;0,003089642;-0,003376412;0,003105066;0,00343736;0,008159983;0,002768967;0,001341485
528,882;2,11E-04;0,002512694;-0,001176842;0,003321432;-0,002499303;0,005284848;0,003875722;0,009187505;0,002834532;0,001363173
529,123;9,36E-04;0,002736778;-8,80E-04;0,003710038;-0,00178746;0,007424331;0,004188572;0,010170417;0,002927844;0,001359677
529,3641;0,002081465;0,002529021;-8,43E-04;0,004224015;-0,001345308;0,009222495;0,004321216;0,010927106;0,003091401;0,001279393
529,6052;0,00335479;0,001883165;-9,33E-04;0,004846584;-0,001207737;0,01026185;0,00426635;0,011362278;0,003358052;0,001107718
529,8463;0,004377017;9,08E-04;-9,81E-04;0,005581944;-0,001319247;0,010206094;0,004070273;0,011496031;0,003737398;8,77E-04
530,0873;0,004840776;-2,09E-04;-8,50E-04;0,006434318;-0,001558826;0,008987437;0,003825479;0,01145387;0,004210891;6,50E-04
530,3284;0,004642405;-0,001264055;-4,71E-04;0,007380962;-0,001786;0,006890159;0,003643376;0,011416883;0,004737226;4,90E-04
530,5694;0,003920166;-0,002073467;1,39E-04;0,008348118;-0,001905846;0,004447578;0,003609154;0,01156058;0,005263207;4,26E-04
530,8105;0,002979898;-0,002499118;9,05E-04;0,009226042;-0,00189869;0,002218076;0,00375112;0,012000449;0,00573393;4,37E-04
531,0515;0,00215326;-0,002499628;0,001747757;0,009908977;-0,001806307;6,02E-04;0,004039366;0,0127697;0,006109998;4,71E-04
531,2926;0,001658694;-0,002134479;0,002606233;0,010338181;-0,001681823;-2,38E-04;0,004413097;0,013821121;0,006376308;4,70E-04
531,5336;0,001529758;-0,001545587;0,003450306;0,010527995;-0,001536515;-3,65E-04;0,004813505;0,015052321;0,006536462;4,00E-04
531,7747;0,001644193;-9,00E-04;0,004262626;0,010557875;-0,001315709;6,16E-05;0,005200396;0,01633789;0,006606458;2,66E-04
532,0157;0,001866259;-3,76E-04;0,005080141;0,010582066;-0,001034279;7,64E-04;0,005398262;0,017509737;0,006594498;9,58E-05
532,2568;0,001968395;1,90E-05;0,0057338;0,010602322;-3,83E-04;0,002056599;0,005691509;0,01857315;0,006524579;-5,05E-05
532,4979;0,001964132;2,59E-04;0,006209177;0,010683865;5,77E-04;0,003937095;0,005984032;0,019464533;0,006410652;-1,52E-04
532,739;0,00196057;3,96E-04;0,006496969;0,010823395;0,001733322;0,006439174;0,00625623;0,020190786;0,006283116;-2,14E-04
532,98;0,002101438;5,04E-04;0,006657649;0,010996234;0,002895482;0,009432144;0,006513798;0,020802613;0,006190023;-2,67E-04
533,2211;0,002357776;7,85E-04;0,006921168;0,011084736;0,003825734;0,012364488;0,006763343;0,021324002;0,00620877;-3,89E-04
533,4621;0,002909745;0,001021853;0,007214772;0,011339446;0,004454804;0,015243623;0,007097456;0,021870364;0,006378659;-5,10E-04
533,7032;0,003449484;0,001372807;0,007768711;0,011704619;0,004750664;0,017431729;0,007583243;0,022417985;0,006763087;-6,68E-04
533,9442;0,003797053;0,001772401;0,008719933;0,012313199;0,004649139;0,018434925;0,008053096;0,022867577;0,007355557;-8,37E-04
534,1853;0,003710392;0,002225355;0,009947288;0,013150741;0,004424203;0,018361993;0,00867012;0,023215227;0,008100666;-9,61E-04
534,4263;0,002896461;0,002574849;0,011404321;0,014063688;0,00417638;0,017249048;0,009463209;0,023503645;0,008862516;-9,15E-04
534,6674;0,0018462;0,003069403;0,012640685;0,015061497;0,004164543;0,015702174;0,010415366;0,02362852;0,009534604;-7,88E-04
534,9084;7,91E-04;0,003567597;0,013564024;0,016010411;0,004261118;0,013867287;0,011345685;0,02361826;0,009984133;-5,22E-04
535,1495;1,18E-04;0,004046551;0,014065591;0,016833086;0,004383877;0,011981368;0,012142671;0,023500655;0,010155199;-1,26E-04
535,3906;-7,64E-05;0,004669904;0,014313957;0,017327742;0,004414132;0,009852527;0,01273882;0,023286509;0,010084455;3,20E-04
535,6317;2,72E-04;0,005276457;0,014358421;0,017556681;0,004380183;0,007727863;0,01322653;0,02310552;0,009843498;8,53E-04
535,8727;9,29E-04;0,005818651;0,014326155;0,017532022;0,004449641;0,005845184;0,013836197;0,023081594;0,009553581;0,001484003
536,1138;0,002048089;0,006384103;0,01428521;0,017573722;0,00467538;0,004401972;0,014378327;0,023067618;0,009352601;0,002069273
536,3548;0,003273356;0,006811196;0,014473032;0,017760425;0,005053524;0,003488244;0,014806311;0,023068403;0,00931416;0,002607456
536,5959;0,004390192;0,007122448;0,014866372;0,018097085;0,005794747;0,003592781;0,015326455;0,023124036;0,009482955;0,0030537
536,8369;0,005358258;0,00731834;0,015474476;0,018581347;0,006860373;0,004878302;0,015918652;0,023219228;0,009839188;0,003351277
537,078;0,006233193;0,00741819;0,016287996;0,019167367;0,008107576;0,007307586;0,016529507;0,023341665;0,010325557;0,003459275
537,319;0,007093557;0,007443681;0,017287776;0,019790286;0,00934688;0,010648854;0,017102012;0,02348586;0,010867764;0,003366765
537,5601;0,00796449;0,007409331;0,018443369;0,020387762;0,010421259;0,014547384;0,017606873;0,023652398;0,011401106;0,003101597
537,8011;0,008774452;0,007304021;0,01970912;0,020918338;0,011265237;0,018584795;0,018055782;0,023853092;0,011875985;0,002724311
538,0422;0,009361284;0,007098369;0,02101678;0,02135657;0,011924489;0,022338469;0,018506443;0,024118727;0,012258399;0,002314356
538,2833;0,009719414;0,006751516;0,022348622;0,021811278;0,012320124;0,025161213;0,018733654;0,02438111;0,012520798;0,001904417
538,5244;0,009668243;0,006381463;0,023442544;0,022195862;0,012876144;0,027117328;0,019172513;0,024797039;0,012667683;0,001558274
538,7654;0,009052101;0,00591125;0,024364018;0,022463345;0,013579059;0,027788122;0,019831515;0,025456118;0,012685904;0,001366005
539,0065;0,008140128;0,005571695;0,025156395;0,022681182;0,014342743;0,026892975;0,020524666;0,026257336;0,012612258;0,001256555
539,2475;0,007310683;0,00533278;0,025744822;0,023028816;0,01511992;0,024817607;0,021194558;0,027195103;0,012473848;0,001269538
539,4886;0,006730507;0,005382623;0,026253249;0,023488502;0,015803965;0,021862397;0,021764297;0,028170606;0,012337571;0,001371111
539,7296;0,006534759;0,005786506;0,026748522;0,024078186;0,016333501;0,018678464;0,022180974;0,029079756;0,012268829;0,001555777
539,9707;0,00671428;0,006548546;0,027293293;0,02476732;0,016700502;0,016012189;0,022425696;0,02982094;0,012331419;0,001816702
540,2117;0,007077829;0,007649027;0,028000607;0,025440851;0,016937792;0,01442829;0,022514055;0,03031607;0,012572344;0,00212312
540,4528;0,007163247;0,008901766;0,028977716;0,025877133;0,017196746;0,014373347;0,022711255;0,030676931;0,012997701;0,002515507
540,6938;0,007522093;0,009936244;0,029998265;0,026552009;0,017416687;0,01623058;0,02270949;0,030826636;0,013558392;0,002937997
540,9349;0,007706207;0,01057448;0,031274105;0,027268136;0,01759059;0,019445567;0,022694164;0,030948771;0,014193515;0,003403336
541,176;0,007668019;0,010716515;0,032751909;0,028043434;0,017776865;0,023550119;0,022849174;0,031198741;0,014832519;0,003900151
541,4171;0,007439929;0,010367549;0,034365975;0,028904704;0,017963112;0,027872235;0,023267518;0,031661546;0,015411506;0,004410171
541,6581;0,007081868;0,009657422;0,035983276;0,029835367;0,018159143;0,031821023;0,024022292;0,03234639;0,015889026;0,004910854
541,8992;0,006658074;0,008790252;0,037427162;0,030771578;0,01840543;0,034999465;0,025150201;0,03319026;0,016251576;0,005375796
542,1402;0,006221908;0,007981922;0,038530379;0,031615882;0,018760501;0,037225278;0,026638838;0,034084067;0,016517258;0,005774009
542,3813;0,00587441;0,00732945;0,039152379;0,032335433;0,019286525;0,038583444;0,028426307;0,034933899;0,016728071;0,006098152
542,6223;0,005846839;0,006817617;0,039389708;0,033051776;0,01978853;0,03892668;0,030089302;0,035573367;0,016941115;0,006307887
542,8634;0,005889736;0,006735941;0,039318716;0,033526065;0,020593188;0,038624567;0,031984727;0,036113756;0,017270688;0,006359071
543,1044;0,005896761;0,006856105;0,039334851;0,033851545;0,021469024;0,037564424;0,033845476;0,036631679;0,017760893;0,006313526
543,3455;0,006150553;0,006982626;0,039542661;0,034383771;0,022311111;0,03615043;0,035418453;0,037183422;0,018435526;0,00620443
543,5865;0,006289273;0,007136186;0,040189194;0,035007587;0,023157875;0,034606705;0,036823951;0,037935098;0,019288191;0,006091076
543,8276;0,00664576;0,007520403;0,041257401;0,035938847;0,023870987;0,033124629;0,037658574;0,038706091;0,020276383;0,00586978
544,0687;0,006994645;0,008110519;0,042787253;0,037043474;0,02434336;0,031760511;0,037812219;0,039478607;0,021285555;0,0056151
544,3098;0,007262426;0,009065632;0,04448895;0,038135868;0,024772894;0,03091855;0,037500385;0,040227446;0,022212805;0,005364644
544,5508;0,007494535;0,010468585;0,046102964;0,039094149;0,0252458;0,030711755;0,036856168;0,040879413;0,022968885;0,00515869
544,7919;0,007788011;0,012338194;0,047415445;0,039861374;0,02583465;0,031114907;0,036081871;0,041394794;0,023513592;0,005046134
545,0329;0,008303714;0,014552042;0,04827074;0,040526186;0,026587872;0,032101725;0,035422589;0,041806002;0,023859229;0,005093219
545,274;0,009125084;0,016959348;0,048672299;0,041218541;0,027502736;0,033555487;0,035108426;0,042188421;0,024074792;0,005334013
545,515;0,010007581;0,019640692;0,04894867;0,041856782;0,028483869;0,034948714;0,035284575;0,042578265;0,024278684;0,005674668
545,7561;0,011130745;0,022088093;0,049122402;0,042816264;0,029403243;0,036528086;0,035880441;0,043087118;0,024519902;0,00614389
545,9971;0,012151535;0,024276532;0,049340943;0,043949032;0,030359483;0,038390621;0,037091917;0,043826794;0,024858848;0,006629664
546,2382;0,012912592;0,026047129;0,049795441;0,04520164;0,031203662;0,040361499;0,038657406;0,044756777;0,025287819;0,007010916
546,4792;0,013299176;0,027304964;0,050576345;0,046450334;0,031873807;0,042288939;0,040349804;0,045808282;0,025764518;0,007190799
546,7203;0,013299226;0,028017056;0,051704004;0,047573967;0,032354388;0,043971421;0,041972913;0,046881891;0,026235442;0,007124189
546,9614;0,013004073;0,028221245;0,053136091;0,048496361;0,032664418;0,045198155;0,04339973;0,047876213;0,026662841;0,006833324
547,2025;0,012567116;0,028028431;0,054774405;0,049199217;0,032849497;0,045830739;0,044586854;0,048717745;0,027043117;0,006403233
547,4435;0,012139386;0,027600957;0,056483818;0,049706956;0,032969437;0,045861483;0,045558482;0,049385694;0,027403719;0,005954903
547,6846;0,011816722;0,027123938;0,058110881;0,050059132;0,033081109;0,045420568;0,046362017;0,049918745;0,027786045;0,00560818
